Description,location,Carpet_Area_sqft,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car_Parking,Ownership,Price__in_rupees_
"5 BHK flat available for sale in Gurgaon in the prime location of South City 1. Enjoying a prime location, this property is housed in the Luxury Builder Floors society. Your hunt for the perfect apartment for resale comes to an end here. This apartment ready to move in the South City 1 is available for an attractive price of INR 3.10 Cr. This furnished flat is strategically designed with all the amenities to enhance the living experience. The flat is in close proximity to prominent landmarks like the property is very nearby reputed markets, malls,schools or hospitals..",gurgaon,2950,Ready to Move,3,Resale,Furnished,North - East,"Main Road, Garden/Park",Luxury Builder Floors,5,3,3,Freehold,"9254"
"One can find this stunning 4 BHK flat for sale in Vesu, Surat. It is in a prime location within the Rameshwaram Devbhoomi. This flat all equipped with required facilities, is up for sale. Located in Vesu, this ready to move apartment is sold at a fair selling price of INR 3.11 Cr. This contemporary apartment is furnished.",surat,2010,Ready to Move,3,New Property,Furnished,East,Garden/Park,Rameshwaram Devbhoomi,4,8,0,Freehold,"9281"
"Up for immediate sale is a 3 BHK apartment in Sector 66, Mohali. Don't miss this bargain flat for sale. Situated in the Park View Residences township, it has a prime location. This is one of the best properties available for resale. This apartment ready to move in the Sector 66 is available for an attractive price of INR 2.75 Cr. This contemporary apartment is furnished. the property is near to school, market, mall, airport are some of the well-known landmarks in this locality.",mohali,2030,Ready to Move,11,Resale,Furnished,North - East,Garden/Park,Park View Residences,3,3,1,Freehold,"9450"
"Have a look at this immaculate 3 BHK flat for sale in Sector 83, Gurgaon. Ideally situated in the Emaar Palm Gardens township it enjoys a prime location. This flat all equipped with required facilities, is up for resale. This ready to move flat in Sector 83 is available for a reasonable price of INR 1.75 Cr. This flat is an ideal choice because it is an furnished apartment with all basic amenities. The property is constructed with proximity to major landmarks like opp. matrikiran school, behind hyatt regency.",gurgaon,1800,Ready to Move,7,Resale,Furnished,East,"Garden/Park, Pool, Main Road",Emaar Palm Gardens,4,4,1,Freehold,"9459"
"This gorgeous 3 BHK Flat is available for sale in Sector 67, Gurgaon. It is housed in the well-planned Ansal Api Esencia township in an advantageous location. Invest your valuable money in this flat that is for sale. You can buy this ready to move flat in Sector 67 at a reasonable price of INR 1.90 Cr. This flat is an ideal choice because it is an furnished apartment with all basic amenities. The property is strategically placed near prominent places as near 66 hub which make for the smooth living of residents.",gurgaon,1800,Ready to Move,1,New Property,Furnished,North - East,Garden/Park,Ansal API Esencia,3,2,2,Freehold,"9500"
"Discover this immaculate 3 BHK flat for sale at the pristine Sector 48 in Gurgaon. It is based at Vipul World complex, that occupies a prominent place in the locality. This is one of the best properties available for sale. This ready to move flat in Sector 48 comes at an affordable price of INR 1.90 Cr. The flat is sold in furnished condition. Some of the landmarks in the vicinity include near vega school.",gurgaon,1800,Ready to Move,1,New Property,Furnished,North - East,Garden/Park,Vipul World,3,3,2,Freehold,"9500"
"This lovely 4 BHK Flat in Ambli Bopal Road, Ahmedabad is up for sale. It is in a prime location within the Sankalp Grace2. This flat for resale is a choice property. Located in Ambli Bopal Road, this ready to move apartment is sold at a fair selling price of INR 3.25 Cr. The flat is available in furnished condition. Significant landmarks in its proximity are near to supermarkets.",ahmedabad,2400,Ready to Move,4,Resale,Furnished,East,"Garden/Park, Main Road",Sankalp Grace2,4,1,2,Freehold,"9525"
"This exquisite 4 BHK Flat is offered for sale in Thaltej, Ahmedabad. It enjoys an excellent location within the Gala Imperia. This flat is available as a resale property. This ready to move property in Thaltej is readily available within an affordable cost of INR 3 Cr. This premium furnished flat spells quality and comfort at a competitive price. drive in road are a few nearby landmarks.",ahmedabad,2031,Ready to Move,7,Resale,Furnished,East,Garden/Park,Gala Imperia,4,1,3,Freehold,"9600"
"This magnificent 4 BHK Flat is available for sale in Pal, Surat. It is based at Shreepad Ananta complex, that occupies a prominent place in the locality. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This ready to move flat located in Pal is available for purchase at a fair price of INR 3.60 Cr. The flat is available in furnished condition. Some of the landmarks in the vicinity include pal rto, surat.",surat,2057,Ready to Move,7,Resale,Furnished,East,"Garden/Park, Main Road",Shreepad ananta,4,3,1,Freehold,"9626"
"This attractive 5 BHK apartment can be found for sale in Prahlad Nagar, Ahmedabad. Well-tucked in the Green Blossom township, the property is easily accessible. This flat all equipped with required facilities, is up for sale. The ready to move flat in Prahlad Nagar is all ready for sale at a low-priced budget of INR 5.50 Cr. This furnished flat is strategically designed with all the amenities to enhance the living experience. This 5 BHK flat boasts of being in close proximity to significant landmarks like opposite to hotel ramada and walking distance fro prahladhnagar garden that enhance the overall living experience.",ahmedabad,3700,Ready to Move,10,New Property,Furnished,East,Main Road,Green Blossom,5,1,3,Freehold,"9821"
"One can find this stunning 4 BHK flat for sale in Sushant Lok 1 Block B, Gurgaon. Enjoying a prime location, this property is housed in the Sushant Lok C Block society. This apartment for sale is a great choice. This ready to move flat in Sushant Lok 1 Block B can be availed at a reasonable price of INR 3.70 Cr. The flat is furnished and is suitable for any family size. Some of the landmarks in the vicinity include paras hospital, vyapaar kendra,galleria market, huda city centre metro.",gurgaon,3000,Ready to Move,2,New Property,Furnished,North - East,"Garden/Park, Pool, Main Road",Sushant Lok C Block,5,2,3,Freehold,"9835"
"4 BHK flat available for sale in Gurgaon in the prime location of Sushant Lok 1. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Project Sushant Lok 1 Block C. This apartment for resale is a great choice. Available at a reasonable selling price of INR 3.75 Cr, this ready to move apartment in Sushant Lok 1 is a great buy. This contemporary apartment is furnished. Prominent landmarks in and around this locality are gold souk mall.",gurgaon,3764,Ready to Move,2,Resale,Furnished,North,Garden/Park,Project Sushant Lok 1 Block C,5,2,0,Freehold,"9963"
"This gorgeous 4 BHK Flat is available for sale in DLF City Phase 2, Gurgaon. It enjoys an excellent location within the Luxury Floors. This flat is an attractive property for sale. This ready to move property in DLF City Phase 2 is readily available within an affordable cost of INR 2.99 Cr. The spacious apartment is furnished. dlf city phase 2, gurgaon, haryana are some of the well-known landmarks in this locality.",gurgaon,2980,Ready to Move,2,New Property,Furnished,East,"Garden/Park, Main Road",Luxury Floors,5,4,1,Freehold,"9967"
"This ready to move-in 4 BHK flat is available for sale at the premium Satellite in Ahmedabad. This flat is placed in a marvellous location within the Sepal Solitaire complex. This apartment for resale is a great choice. The ready to move flat in the prime area of Satellite is available at a reasonable price of INR 3 Cr. The flat is furnished and is suitable for any family size. Some nearby landmarks are located in jodhpur village, sg highway.",ahmedabad,1800,Ready to Move,1,Resale,Furnished,East,"Garden/Park, Main Road",Sepal Solitaire,4,3,3,Freehold,"9997"
"This beautiful 5 BHK Flat is available for sale in Prahlad Nagar, Ahmedabad. This flat is placed in a marvellous location within the Green Blossom complex. This apartment for resale is a great choice. This ready to move flat in Prahlad Nagar comes at an affordable price of INR 5.50 Cr. The spacious apartment is furnished. The flat is in close proximity to prominent landmarks like prahaladnagar garden.",ahmedabad,3850,Ready to Move,10,Resale,Furnished,East,"Garden/Park, Main Road",Green Blossom,5,2,3,Freehold,"10000"
"Have a look at this immaculate 4 BHK flat for sale in Thaltej, Ahmedabad. This flat is placed in a marvellous location within the Soham Pride 410 complex. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat is offered at an economical price of INR 4.50 Cr. The flat is available in furnished condition. The property is strategically placed near prominent places as thaltej which make for the smooth living of residents.",ahmedabad,2700,Ready to Move,3,Resale,Furnished,East,Garden/Park,Soham Pride 410,4,1,2,Freehold,"10000"
"This exquisite 4 BHK Flat is offered for sale in Dwarka Sector 10, New Delhi. Situated in the excellent Chandanwari Apartments township. The flat enjoys a prime location. This apartment is a property of choice for resale. This ready to move flat in Dwarka Sector 10 comes at an affordable price of INR 2.10 Cr. The flat is furnished and makes for an ideal choice for any family. The property is constructed with proximity to major landmarks like sector 10 chandanwari apartment.",new-delhi,1800,Ready to Move,5,Resale,Furnished,North - East,Garden/Park,Chandanwari Apartments,3,3,2,Freehold,"10000"
"Carefully laid out in the prime location of Thaltej in Ahmedabad, this spacious 4 BHK flat on sale is a meticulously planned project. It is based at Copper Stone complex, that occupies a prominent place in the locality. This flat for resale is just the type of property you have been searching for! The ready to move flat in the prime area of Thaltej is available at a reasonable price of INR 3.40 Cr. The apartment is furnished. The property is constructed with proximity to major landmarks like near bagban cros copper stone flats, thaltej, ahmedabad, gujarat 38005.",ahmedabad,2035,Ready to Move,2,Resale,Furnished,East,"Garden/Park, Pool, Main Road",Copper Stone,4,1,1,Freehold,"10024"
"Discover this immaculate 4 BHK flat for sale at the pristine Suncity in Gurgaon. Well-tucked in the Suncity Township township, the property is easily accessible. This is a desirable apartment for sale. The ready to move flat in Suncity is all ready for sale at a low-priced budget of INR 3.25 Cr. The spacious apartment is furnished. This 4 BHK flat boasts of being in close proximity to significant landmarks like suncity school, mega mall, gurgaon rapid metro, lemon tree hotel etc that enhance the overall living experience.",gurgaon,2600,Ready to Move,3,New Property,Furnished,North - East,"Garden/Park, Pool, Main Road",Suncity Township,4,2,2,Freehold,"10031"
"This gorgeous 3 BHK Flat is available for sale in Marine Drive, Kochi. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Puravankara Purva Oceana. This flat for resale is the perfect property for you! This ready to move flat in Marine Drive is available for a reasonable price of INR 3.10 Cr. This flat is an ideal choice because it is an furnished apartment with all basic amenities.",kochi,2700,Ready to Move,3,Resale,Furnished,East,Pool,Puravankara Purva Oceana,3,2,1,Freehold,"10032"
"One can find this stunning 4 BHK flat for sale in Thaltej, Ahmedabad. It is based at Gala Imperia complex, that occupies a prominent place in the locality. This is one of the best properties available for resale. This ready to move flat in Thaltej comes at an affordable price of INR 3.15 Cr. You will find it furnished. The flat is in close proximity to prominent landmarks like a residential apartment available for sale on the prime location of city. 24 hour water supply, lift and security facilities available. very peaceful locality. all basic needs available nearby. well develop residential, villas and apartments, market places, business centre, schools and banks are just at walking distance very good for investment purpose. its very well maintain apartment..",ahmedabad,1968,Ready to Move,5,Resale,Furnished,East,"Garden/Park, Main Road",Gala Imperia,4,1,3,Freehold,"10080"
"Up for immediate sale is a 4 BHK apartment in Sushant Lok 1 Block A, Gurgaon. Don't miss this bargain flat for sale. Well-tucked in the Luxury Builder Floors township, the property is easily accessible. This flat all equipped with required facilities, is up for sale. This ready to move flat in Sushant Lok 1 Block A can be availed at a reasonable price of INR 3.80 Cr. The flat is sold in furnished condition. sushant lok phase 1, gurgaon are some of the well-known landmarks in this locality.",gurgaon,3760,Ready to Move,2,New Property,Furnished,East,"Garden/Park, Main Road",Luxury Builder Floors,4,4,1,Freehold,"10101"
"One can find this stunning 4 BHK flat for sale in Mayfield Garden, Gurgaon. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Mayfield Garden. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! This ready to move flat in Mayfield Garden comes at an affordable price of INR 2.45 Cr. It is a furnished apartment. Significant landmarks in its proximity are close to mandir and market.",gurgaon,2100,Ready to Move,2,New Property,Furnished,East,"Garden/Park, Main Road",Mayfield Garden,3,3,1,Freehold,"10208"
"Thaltej, Ahmedabad has an appealing 4 BHK flat for sale with various amenities. The property is ideally located in a strategic location in Maple Tree Garden Homes township. This flat is available as a sale property. This ready to move flat in Thaltej can be taken at a very economical pricing of INR 3.70 Cr. The flat is available in furnished condition. Landmarks near the apartment include maple trade center.",ahmedabad,2532,Ready to Move,11,New Property,Furnished,East,"Garden/Park, Main Road",Maple Tree Garden Homes,4,1,2,Freehold,"10227"
"This beautiful 4 BHK Flat is available for sale in Vaishali Nagar, Jaipur. The property is ideally located in a strategic location in Melodia township. This flat for resale has a desirable location. The ready to move flat in the prime area of Vaishali Nagar is available at a reasonable price of INR 3 Cr. The flat is sold in furnished condition. gandhi path vaishali nagar are a few nearby landmarks.",jaipur,2250,Ready to Move,11,Resale,Furnished,North,"Garden/Park, Main Road",Melodia,4,3,2,Freehold,"10228"
"This magnificent 3 BHK Flat is available for sale in Sector 45, Gurgaon. This flat is situated within the renown township of Unitech Greenwood City. This flat all equipped with required facilities, is up for sale. This ready to move flat in Sector 45 can be availed at a reasonable price of INR 2.05 Cr. It is furnished to accommodate your needs. The flat is in close proximity to prominent landmarks like near cyber park.",gurgaon,1800,Ready to Move,1,New Property,Furnished,North - East,Garden/Park,Unitech Greenwood City,3,3,2,Freehold,"10250"
"3 BHK flat available for sale in Gurgaon in the prime location of Malibu Town. Ideally situated in the Malibu Town township it enjoys a prime location. This flat for sale has a desirable location. Available at a reasonable selling price of INR 2.05 Cr, this ready to move apartment in Malibu Town is a great buy. Available in furnished state, this flat is a great buy. The property is strategically placed near prominent places as near. by good earth market which make for the smooth living of residents.",gurgaon,1800,Ready to Move,1,New Property,Furnished,North - East,"Garden/Park, Main Road",Malibu Town,3,2,2,Freehold,"10250"
"Thaltej Shilaj Road, Ahmedabad has an attractive 4 BHK Flat for sale. Located in the Copper Stone township, the flat enjoys access to the prime spots in the city. This flat for resale is a choice property. This ready to move flat in Thaltej Shilaj Road can be taken at a very economical pricing of INR 3.50 Cr. The flat is available in furnished condition. a residential apartment available for sale on the prime location of city. 24 hour water supply, lift and security facilities available. very peaceful locality. all basic needs available nearby. well develop residential, villas and apartments, market places, business centre, schools and banks are just at walking distance very good for investment purpose. its very well maintain apartment. are some of the key nearby landmarks.",ahmedabad,2205,Ready to Move,1,Resale,Furnished,East,Main Road,Copper Stone,4,1,2,Freehold,"10315"
"Have a look at this immaculate 3 BHK flat for sale in Sahastradhara Road, Dehradun. It is housed in the well-planned Pacific Golf Estate township in an advantageous location. This apartment is a property of choice for resale. This ready to move flat in Sahastradhara Road comes at an affordable price of INR 3 Cr. You will find it furnished. The flat is easily approachable because it is near to kulhan.",dehradun,2600,Ready to Move,1,Resale,Furnished,East,"Pool, Garden/Park, Main Road",Pacific Golf Estate,3,1,0,Freehold,"10345"
"Dwarka Sector 12, New Delhi has an attractive 4 BHK Flat for sale. Situated in the excellent Sant Sunder Dass Apartment township. The flat enjoys a prime location. This flat for resale is just the type of property you have been searching for! This ready to move flat in Dwarka Sector 12 is available for a reasonable price of INR 2.85 Cr. The flat is available in furnished condition. Prominent landmarks in and around this locality are society is close to metro and market, very well maintained n green.",new-delhi,2275,Ready to Move,6,Resale,Furnished,North - East,"Garden/Park, Main Road",Sant Sunder Dass Apartment,3,3,1,Freehold,"10364"
"Bodakdev, Ahmedabad has an appealing 3 BHK flat for sale with various amenities. This flat is placed in a marvellous location within the Amaya 426 complex. This flat for resale has a desirable location. This ready to move flat in Bodakdev can be availed at a reasonable price of INR 3.75 Cr. You will find it furnished.",ahmedabad,2700,Ready to Move,9,Resale,Furnished,West,"Garden/Park, Pool, Main Road",Amaya 426,3,1,0,Freehold,"10417"
"Up for immediate sale is a 4 BHK apartment in Bodakdev, Ahmedabad. Don't miss this bargain flat for sale. Take the experience of contemporary living to a new high, with exquisitely designed apartments at 31 Ivy. This flat for resale is just the type of property you have been searching for! The ready to move flat in the prime area of Bodakdev is available at a reasonable price of INR 3.50 Cr. This immaculate flat boasts of coming in furnished form which takes the entire deal to the next level. Prominent landmarks in and around this locality are at.bodakdev.",ahmedabad,2010,Ready to Move,2,Resale,Furnished,East,Main Road,31 Ivy,4,1,3,Freehold,"10448"
"Creatively planned and constructed is a 4 BHK flat for sale in Sector 50, Chandigarh. Strategically situated in the Bsnl Society site, it is placed at a prime location. This flat is an attractive property for resale. Located in Sector 50, this ready to move apartment is sold at a fair selling price of INR 2.30 Cr. The spacious apartment is furnished. The flat is easily approachable because it is near to bsnl society.",chandigarh,2200,Ready to Move,1,Resale,Furnished,South -West,"Garden/Park, Main Road",BSNL Society,3,4,0,Freehold,"10455"
"Discover this immaculate 3 BHK flat for sale at the pristine Sector 49 in Gurgaon. Well-tucked in the Rosewood City township, the property is easily accessible. This flat is an attractive property for sale. This ready to move flat located in Sector 49 is available for purchase at a fair price of INR 2.10 Cr. This immaculate flat boasts of coming in furnished form which takes the entire deal to the next level. near eros mall are some of the well-known landmarks in this locality.",gurgaon,1800,Ready to Move,1,New Property,Furnished,North - East,Garden/Park,Rosewood City,3,3,2,Freehold,"10500"
"This exquisite 4 BHK Flat is offered for sale in Vaishali Nagar, Jaipur. Located in the Melodia township, the flat enjoys access to the prime spots in the city. This flat for resale is a choice property. This ready to move flat in Vaishali Nagar can be availed at a reasonable price of INR 2.75 Cr. The flat is furnished and makes for an ideal choice for any family. The flat is easily approachable because it is near to mall of jaipur.",jaipur,2000,Ready to Move,2,Resale,Furnished,North - East,Main Road,Melodia,4,4,0,Freehold,"10601"
"Have a look at this immaculate 4 BHK flat for sale in Sector 82A, Gurgaon. It enjoys an excellent location within the Dlf Garden City The Primus. This is one of the best properties available for resale. The ready to move flat in Sector 82A is all ready for sale at a low-priced budget of INR 2.40 Cr. The flat is furnished and is suitable for any family size.",gurgaon,2200,Ready to Move,1,Resale,Furnished,East,Main Road,DLF Garden City The Primus,4,3,0,Freehold,"10667"
"One can find this stunning 3 BHK flat for sale in Dwarka Sector 22, New Delhi. Ideally situated in the Jai Bhavani Apartment township it enjoys a prime location. This flat for resale is just the type of property you have been searching for! The ready to move flat in the prime area of Dwarka Sector 22 is available at a reasonable price of INR 2.51 Cr. The flat is uniquely designed to enhance the living style. It is furnished, studded with all the basic facilities. apposite taaj vivanta are some major landmarks near the apartment.",new-delhi,1950,Ready to Move,1,Resale,Furnished,North - West,Garden/Park,Jai Bhavani Apartment,2,2,1,Freehold,"10681"
"Discover this immaculate 3 BHK flat for sale at the pristine Dwarka Sector 10 in New Delhi. Strategically situated in the Rohit Apartments site, it is placed at a prime location. This flat for resale has a desirable location. This ready to move flat located in Dwarka Sector 10 is available for purchase at a fair price of INR 1.98 Cr. The apartment is furnished. The property is strategically placed near prominent places as sector 10 rohit apartment which make for the smooth living of residents.",new-delhi,1800,Ready to Move,1,Resale,Furnished,North - East,Garden/Park,Rohit Apartments,3,0,1,Freehold,"10703"
"Up for immediate sale is a 3 BHK apartment in Sector 82A, Gurgaon. Don't miss this bargain flat for sale. It is housed in the well-planned Dlf The Primus township in an advantageous location. Your hunt for the perfect apartment for resale comes to an end here. The ready to move flat in the prime area of Sector 82A is available at a reasonable price of INR 1.95 Cr. You will find it furnished.",gurgaon,1800,Ready to Move,6,Resale,Furnished,North,"Garden/Park, Pool",DLF The Primus,3,3,0,Freehold,"10726"
"This attractive 4 BHK apartment can be found for sale in DLF City Phase 2, Gurgaon. This flat is placed in a marvellous location within the Luxury Floors complex. This flat for sale is a choice property. In DLF City Phase 2, this ready to move flat is available at an attractive price of INR 2.90 Cr. It is a furnished apartment. Some of the landmarks in the vicinity include dlf city phase 2, gurgaon, haryana.",gurgaon,2695,Ready to Move,2,New Property,Furnished,East,"Garden/Park, Main Road",Luxury Floors,4,4,1,Freehold,"10741"
"Carefully laid out in the prime location of Sushant Lok 1 Block A in Gurgaon, this spacious 4 BHK flat on sale is a meticulously planned project. Ideally situated in the Luxury Builder Floors township it enjoys a prime location. This flat for sale is a choice property. This ready to move flat in Sushant Lok 1 Block A can be taken at a very economical pricing of INR 2.90 Cr. This flat is an ideal choice because it is an furnished apartment with all basic amenities. This 4 BHK flat boasts of being in close proximity to significant landmarks like a block sushant lok 1, a block sushant lok phase - i, , gurgaon, haryana that enhance the overall living experience.",gurgaon,2685,Ready to Move,2,New Property,Furnished,East,"Garden/Park, Pool, Main Road",Luxury Builder Floors,4,5,1,Freehold,"10741"
"This ready to move-in 5 BHK flat is available for sale at the premium Madhurwada in Visakhapatnam. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Mvv City. This is one of the best properties available for sale. This ready to move flat is offered at an economical price of INR 3.90 Cr. The flat is uniquely designed to enhance the living style. It is furnished, studded with all the basic facilities. The property is strategically placed near prominent places as opp vizag convention,cricket stadium which make for the smooth living of residents.",visakhapatnam,3200,Ready to Move,10,New Property,Furnished,West,Garden/Park,MVV City,5,6,0,Freehold,"10833"
"Have a look at this immaculate 4 BHK flat for sale in DLF City Phase 1, Gurgaon. Well-tucked in the Luxury Floors township, the property is easily accessible. This is one of the best properties available for sale. The ready to move flat in DLF City Phase 1 is all ready for sale at a low-priced budget of INR 2.95 Cr. You will find it furnished. The flat is easily approachable because it is near to biggest carpet area, dlf city phase 1, gurgaon, haryana.",gurgaon,2685,Ready to Move,2,New Property,Furnished,East,"Garden/Park, Main Road",Luxury Floors,5,5,1,Freehold,"10926"
"One can find this stunning 4 BHK flat for sale in Mussoorie Road, Dehradun. Enjoying a prime location, this property is housed in the Park Belles society. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! This ready to move flat in Mussoorie Road comes at an affordable price of INR 3.50 Cr. The apartment is furnished.",dehradun,2800,Ready to Move,1,New Property,Furnished,West,Main Road,Park Belles,4,1,0,Freehold,"10938"
"Situated in Rajarhat, the The V is planned to offer a modern lifestyle to all the residents. This precisely planned The V projects prices are available in the range of Rs. 4. 48 Cr Onwards. It covers an area of 2 Acre that is wellmaintained. The project has a total of 69 units, constructed with robust quality.This Residential complex has a pleasing appearance that would charm most buyers. All the units in the property are Under Construction. The units offered are Flat, which have been developed to provide complete satisfaction. The residential units offered are spacious and available in d",kolkata,3078,Ready to Move,5,Resale,Furnished,North - East,"Garden/Park, Main Road",The V,4,2,2,Freehold,"11034"
"This beautiful 4 BHK Flat is available for sale in Bhagwant Pur, Dehradun. The property is ideally located in a strategic location in Golden Manor township. This apartment is a property of choice for sale. This ready to move flat in Bhagwant Pur comes at an affordable price of INR 2.25 Cr. It is furnished to accommodate your needs.",dehradun,3818,Ready to Move,6,New Property,Furnished,East,"Main Road, Pool, Garden/Park",Golden Manor,5,5,0,Freehold,"11051"
"This lovely 3 BHK Flat in Bodakdev, Ahmedabad is up for sale. Situated in the excellent Amaya 426 township. The flat enjoys a prime location. This flat for resale is a choice property. This ready to move flat is offered at an economical price of INR 4 Cr. You will find it furnished.",ahmedabad,2160,Ready to Move,8,Resale,Furnished,East,Main Road,Amaya 426,3,1,1,Freehold,"11111"
"Have a look at this immaculate 4 BHK flat for sale in Bodakdev, Ahmedabad. Well-tucked in the Prayag Residency township, the property is easily accessible. This flat for resale is the perfect property for you! This apartment in one of the significant areas of Bodakdev is ready to move, and can be purchased at the best price of INR 3.20 Cr. You will find it furnished. The prime landmarks near this property are near to mall market school jain derasar.",ahmedabad,2109,Ready to Move,9,Resale,Furnished,East,"Main Road, Garden/Park",Prayag Residency,4,3,2,Co-operative Society,"11111"
"Up for immediate sale is a 4 BHK apartment in Dwarka Sector 12, New Delhi. Don't miss this bargain flat for sale. It enjoys an excellent location within the Classic Apartments. This is one of the best properties available for resale. This apartment in one of the significant areas of Dwarka Sector 12 is ready to move, and can be purchased at the best price of INR 2.35 Cr. This flat is an ideal choice because it is an furnished apartment with all basic amenities.",new-delhi,1950,Ready to Move,4,Resale,Furnished,North - East,"Garden/Park, Main Road",Classic Apartments,3,3,0,Freehold,"11190"
"This lovely 4 BHK Flat in Nirvana Country, Gurgaon is up for sale. The property is ideally located in a strategic location in Unitech Nirvana Country township. This apartment is a property of choice for sale. Located in Nirvana Country, this ready to move apartment is sold at a fair selling price of INR 3.65 Cr. This furnished flat is strategically designed with all the amenities to enhance the living experience. rps school, park hospital, artemis hospital, m3m ifc, world mark are some of the key nearby landmarks.",gurgaon,2600,Ready to Move,3,New Property,Furnished,North - East,"Garden/Park, Pool, Main Road",Unitech Nirvana Country,4,2,2,Freehold,"11265"
"Carefully laid out in the prime location of Sector 66 in Mohali, this spacious 4 BHK flat on sale is a meticulously planned project. Strategically situated in the Jlpl Falcon View site, it is placed at a prime location. Your hunt for the perfect apartment for sale comes to an end here. The ready to move flat in Sector 66 is all ready for sale at a low-priced budget of INR 3.40 Cr. The spacious apartment is furnished. Some neighbouring landmarks are jlpl falcon view..",mohali,2490,Ready to Move,8,New Property,Furnished,South - East,"Garden/Park, Pool, Main Road",JLPL Falcon View,5,4,1,Freehold,"11320"
"East facing property with a fully furnished flat. 24X7 power back up, lift, community hall. Well connected transportation facility. 3 side open.",kolkata,2299,Ready to Move,5,Resale,Furnished,East,"Garden/Park, Main Road",Diamond Tower Apartment,4,1,1,Freehold,"11364"
"Up for immediate sale is a 4 BHK apartment in Dwarka Sector 19B, New Delhi. Don't miss this bargain flat for sale. This flat is placed in a marvellous location within the Golf View Apartment complex. This flat is available as a resale property. You can buy this ready to move flat in Dwarka Sector 19B at a reasonable price of INR 2.50 Cr. It is a furnished apartment. Significant landmarks in its proximity are opp opg world school..",new-delhi,2000,Ready to Move,1,Resale,Furnished,North - West,Garden/Park,Golf View Apartment,3,3,1,Freehold,"11364"
"This exquisite 4 BHK Flat is offered for sale in Memnagar, Ahmedabad. This flat is situated within the renown township of Kamnath Sepal Residency. This flat is an attractive property for resale. This ready to move flat in Memnagar can be taken at a very economical pricing of INR 3.50 Cr. The flat is available in furnished condition. Some of the landmarks in the vicinity include nr d mart mall 132 ring road satellite ahmedabad west.",ahmedabad,2475,Ready to Move,8,Resale,Furnished,East,"Garden/Park, Main Road",kamnath sepal residency,4,1,2,Freehold,"11371"
"This exquisite 4 BHK Flat is offered for sale in Memnagar, Ahmedabad. This flat is situated within the renown township of Kamnath Sepal Residency. This flat is an attractive property for resale. This ready to move flat in Memnagar can be taken at a very economical pricing of INR 3.50 Cr. The flat is available in furnished condition. Some of the landmarks in the vicinity include nr d mart mall 132 ring road satellite ahmedabad west.",ahmedabad,2475,Ready to Move,8,Resale,Furnished,East,"Garden/Park, Main Road",kamnath sepal residency,4,1,2,Freehold,"11371"
"This exquisite 4 BHK Flat is offered for sale in Memnagar, Ahmedabad. This flat is situated within the renown township of Kamnath Sepal Residency. This flat is an attractive property for resale. This ready to move flat in Memnagar can be taken at a very economical pricing of INR 3.50 Cr. The flat is available in furnished condition. Some of the landmarks in the vicinity include nr d mart mall 132 ring road satellite ahmedabad west.",ahmedabad,2475,Ready to Move,8,Resale,Furnished,East,"Garden/Park, Main Road",kamnath sepal residency,4,1,2,Freehold,"11371"
"This exquisite 4 BHK Flat is offered for sale in Memnagar, Ahmedabad. This flat is situated within the renown township of Kamnath Sepal Residency. This flat is an attractive property for resale. This ready to move flat in Memnagar can be taken at a very economical pricing of INR 3.50 Cr. The flat is available in furnished condition. Some of the landmarks in the vicinity include nr d mart mall 132 ring road satellite ahmedabad west.",ahmedabad,2475,Ready to Move,8,Resale,Furnished,East,"Garden/Park, Main Road",kamnath sepal residency,4,1,2,Freehold,"11371"
"This exquisite 4 BHK Flat is offered for sale in Memnagar, Ahmedabad. This flat is situated within the renown township of Kamnath Sepal Residency. This flat is an attractive property for resale. This ready to move flat in Memnagar can be taken at a very economical pricing of INR 3.50 Cr. The flat is available in furnished condition. Some of the landmarks in the vicinity include nr d mart mall 132 ring road satellite ahmedabad west.",ahmedabad,2475,Ready to Move,8,Resale,Furnished,East,"Garden/Park, Main Road",kamnath sepal residency,4,1,2,Freehold,"11371"
"This exquisite 4 BHK Flat is offered for sale in Memnagar, Ahmedabad. This flat is situated within the renown township of Kamnath Sepal Residency. This flat is an attractive property for resale. This ready to move flat in Memnagar can be taken at a very economical pricing of INR 3.50 Cr. The flat is available in furnished condition. Some of the landmarks in the vicinity include nr d mart mall 132 ring road satellite ahmedabad west.",ahmedabad,2475,Ready to Move,8,Resale,Furnished,East,"Garden/Park, Main Road",kamnath sepal residency,4,1,2,Freehold,"11371"
